Participant,Interface,Story,SUS1,SUS2,SUS3,SUS4,SUS5,SUS6,SUS7,SUS8,SUS9,SUS10,Score
P1,Baseline,A kiss of Ice,4,1,4,1,3,2,4,2,4,2,77.5
P1,DVP,The Prisoners,5,1,5,1,4,1,5,1,5,3,92.5
P2,DVP,A kiss of Ice,2,2,4,2,4,2,4,2,4,1,72.5
P2,Baseline,The Prisoners,1,1,1,1,2,1,1,1,4,1,60
P3,Baseline,A kiss of Ice,3,1,5,1,5,1,5,1,5,1,95
P3,DVP,The Prisoners,4,2,4,1,4,1,4,1,4,2,82.5
P4,DVP,A kiss of Ice,2,3,4,2,2,2,4,2,4,2,62.5
P4,Baseline,The Prisoners,2,2,4,2,3,2,5,2,4,2,70
P5,Baseline,The Prisoners,2,4,1,2,1,1,5,2,3,2,52.5
P5,DVP,A kiss of Ice,5,1,5,2,4,1,5,1,5,1,95
P6,Baseline,The Prisoners,4,1,5,1,4,1,5,1,5,1,95
P6,DVP,A kiss of Ice,5,2,4,2,5,1,5,1,5,3,87.5
P7,DVP,The Prisoners,2,2,4,2,4,2,4,2,4,1,72.5
P7,Baseline,A kiss of Ice,1,1,1,1,3,1,1,1,5,1,65
P8,Baseline,A kiss of Ice,4,1,5,1,4,1,4,1,4,1,90
P8,DVP,The Prisoners,5,1,4,2,5,1,5,1,5,3,90
P9,DVP,A kiss of Ice,4,1,4,2,4,1,4,1,4,3,80
P9,Baseline,The Prisoners,3,1,4,2,4,3,4,3,4,1,72.5
P10,Baseline,A kiss of Ice,2,2,4,2,3,2,5,2,4,2,70
P10,DVP,The Prisoners,1,1,1,1,2,1,1,1,4,1,60
P11,Baseline,The Prisoners,5,2,4,2,5,1,4,1,4,1,87.5
P11,DVP,A kiss of Ice,5,3,5,1,4,1,3,3,3,3,72.5
