Participant,Interface,Story,"Accuracy (0, 1)",Time (Minutes),nasa_tlx_Score,sus_score
P1,Baseline,A kiss of Ice,0.714285714,8.25,36.66666667,77.5
P1,DramatVis Personae,The Prisoners,1,3.31,40.83333333,92.5
P2,DramatVis Personae,A kiss of Ice,1,4.4,37.5,72.5
P2,Baseline,The Prisoners,0.714285714,5.1,60,60
P3,Baseline,A kiss of Ice,0.571428571,3.4,28.33333333,95
P3,DramatVis Personae,The Prisoners,0.857142857,4.3,22.5,82.5
P4,DramatVis Personae,A kiss of Ice,0.857142857,3.46,29.16666667,62.5
P4,Baseline,The Prisoners,0.285714286,3.5,36.66666667,70
P5,Baseline,The Prisoners,0.428571429,8.4,62.5,52.5
P5,DramatVis Personae,A kiss of Ice,1,5.3,35,95
P6,Baseline,The Prisoners,0.571428571,2.35,30,95
P6,DramatVis Personae,A kiss of Ice,1,2.15,20.83333333,87.5
P7,DramatVis Personae,The Prisoners,0.857142857,3.5,24.16666667,72.5
P7,Baseline,A kiss of Ice,0.571428571,4.3,31.66666667,65
P8,Baseline,A kiss of Ice,0.714285714,3.44,41.66666667,90
P8,DramatVis Personae,The Prisoners,1,2.3,22.5,90
P9,DramatVis Personae,A kiss of Ice,0.857142857,3.2,30,80
P9,Baseline,The Prisoners,0.714285714,3.4,40,72.5
P10,Baseline,A kiss of Ice,0.714285714,5.2,31.66666667,70
P10,DramatVis Personae,The Prisoners,0.714285714,2.3,24.16666667,60
