Participant,Interface,Story,Time (Minutes)
P1,Baseline,A kiss of Ice,8.25
P1,DVP,The Prisoners,3.31
P2,DVP,A kiss of Ice,4.4
P2,Baseline,The Prisoners,5.1
P3,Baseline,A kiss of Ice,3.4
P3,DVP,The Prisoners,4.3
P4,DVP,A kiss of Ice,3.46
P4,Baseline,The Prisoners,3.5
P5,Baseline,The Prisoners,8.4
P5,DVP,A kiss of Ice,5.3
P6,Baseline,The Prisoners,2.35
P6,DVP,A kiss of Ice,2.15
P7,DVP,The Prisoners,3.5
P7,Baseline,A kiss of Ice,4.3
P8,Baseline,A kiss of Ice,3.44
P8,DVP,The Prisoners,2.3
P9,DVP,A kiss of Ice,3.2
P9,Baseline,The Prisoners,3.4
P10,Baseline,A kiss of Ice,5.2
P10,DVP,The Prisoners,2.3
P11,Baseline,The Prisoners,3.45
P11,DVP,A kiss of Ice,2.55
